id,name,address,postcode,Last Recorded Financial Year,income,expenditure,howHelps,whatDoes,whoHelps,activities,aim,sizeBand,primaryFocus,lsoaCode,lat,lng,imdScore,imdDecile,incomeScore,employmentRate,educationSkillsTrainingScore,healthDeprivation,crimeDeprivation,housingBarriersDeprivation,livingEnvScore,totalPopulation,childPopulation,olderPopulation
206431,CHARITY OF MARY BAKER,"32 MONTHOPE ROAD, LONDON",E1 5LS,31/12/2024,8523.0,7908.0,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,The General Public/mankind,"The charity operates in the London Borough of Tower Hamlets to make grants to individuals and organisations for the relief of poverty, sickness, distress or hardship and gives priority to those living in the parish of Christ Church Spitalfields",TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSON RESIDENT IN THE AREA OF THE ANCIENT PARISH OF CHRISTCHURCH SPITALFIELDS WHO ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS.,Micro,The Prevention Or Relief Of Poverty,E01004306,51.517898,-0.069152,36.117,2.0,0.387,0.19,15.221,0.546,0.73,38.717,48.653,1926.0,302.0,204.0
207772,HENRY FAWCETT FUND,"ST PETER'S CHURCH OFFICE, The Vicarage, St. Peter's Close, LONDON",E2 7AE,31/12/2024,103540.0,22604.0,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities",The charity is restricted to the benefit of people who are connected to the Parish of St Peters with St Thomas Bethnal Green.,"GENERAL BENEFIT OF POOR PERSONS, IF POSSIBLE THE INCOME TO BE CHIEFLY USED IN GIVING COUNTRY HOLIDAYS TO DESERVING CHILDREN OR INVALIDS OR OLD PERSONS OF EITHER SEX.",Medium,Accommodation/housing,E01004204,51.529956,-0.064186,37.469,2.0,0.472,0.191,18.864,0.728,0.473,32.576,44.911,1876.0,319.0,275.0
208870,SALMON LANE MISSION,"168-170 SALMON LANE, LIMEHOUSE, LONDON",E14 7PQ,30/09/2024,15920.0,10862.0,"Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes",The General Public/mankind,"The work consists of promoting, organising, conducting and carry out gospel ministrations, spiritual guidance and uplift redemptive work among all ages, classes and creeds in the East End and elsewhere.","TO PROMOTE, ORGANISE, CONDUCT AND CARRY ON CHARITABLE WORK OF EVERY DESCRIPTION IN PARTICULAR GOSPEL MINISTRATIONS, SPIRITUAL GUIDANCE AND UPLIFT AND REDEMPTIVE WORK, HELP AND RELIEF OF THE POOR AND DESTITUTE OF ALL AGES CLASSES AND CREEDS IN EAST LONDON OR ELSEWHERE AND THE VISITATION, CARE AND COMFORT OF DISTRESSED WIDOWS AGED AND SICK PERSONS, POOR AILING AND AFFLICTED CHILDREN.",Small,Overseas Aid/famine Relief,E01035690,51.51373,-0.033758,16.612,6.0,0.237,0.073,13.312,-0.03,0.153,26.087,24.595,2106.0,284.0,48.0
209117,THE STRANGERS REST MISSION,"Strangers Rest Church, 131 The Highway, LONDON",E1W 2BP,30/09/2024,40208.0,48706.0,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Disability, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","THE STRANGERS' REST MISSION IS A CHRISTIAN ORGANISATION AND CHURCH, FOUNDED IN 1877, WHICH SEEKS TO SERVE THE LOCAL MULTI CULTURAL COMMUNITY IN SHADWELL, EAST LONDON. THIS INCLUDES THE HOLDING OF WORSHIP SERVICES, CHILDRENS' AND YOUNG PEOPLES TEACHING AND RECREATIONAL ACTIVITIES. PROVIDING PRACTICAL HELP TO THOSE IN THE COMMUNITY IS AN IMPORTANT FUNCTION OF THE MISSION.",EVANGELISTIC CHRISTIAN MISSION PURPOSES IN THE EAST END OF LONDON.,Small,Disability,E01004295,51.509574,-0.061751,39.106,2.0,0.602,0.153,21.833,-0.004,0.188,42.923,35.935,2052.0,543.0,194.0
210928,EAST LONDON NURSING SOCIETY TRUST,"45-55 Whitehorse Road, LONDON",E1 0ND,31/03/2024,17556.0,4896.0,Makes Grants To Organisations,"The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies",Making grants to groups providing support for poor-sick resident in Tower Hamlets.,"TO RELIEVE IN CASES OF NEED PERSONS RESIDENT IN THE LONDON BOROUGH OF TOWER HAMLETS WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR IMFIRM.",Small,Disability,E01004286,51.513692,-0.04062,38.909,2.0,0.432,0.223,19.673,0.458,0.953,37.938,39.925,2565.0,491.0,320.0
211196,POPLAR METHODIST CHURCH SICK & POOR FUND,"Bow Road Methodist Church, 1 Merchant Street, LONDON",E3 4LY,31/08/2024,855.0,60.0,Makes Grants To Individuals,The Prevention Or Relief Of Poverty,"Elderly/old People, Other Defined Groups",Support to needy people in the historical borough of Poplar,"GRANTS FOR POOR PERSONS RESIDING IN POPLAR WHO ARE SICK, INFIRM, CONVALESCENT OR IN NEED OF REST OR CHANGE OF AIR, TO DEFRAY THE EXPENSE OF RECUPERATIVE HOLIDAYS OR OF OBTAINING DOMESTIC HELP.",Micro,The Prevention Or Relief Of Poverty,E01004268,51.526178,-0.02744,37.753,2.0,0.515,0.194,22.486,0.816,0.068,32.849,33.627,1781.0,306.0,185.0
211399,PARISH OF POPLAR BENEVOLENT FUND,"St. Michael's Vicarage, 164 St. Leonards Road, Poplar, LONDON",E14 6PW,31/12/2024,4590.0,1094.0,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty",Other Defined Groups,Small grants of money or the purchase of needed items for those in financial need within the borough/parish of Poplar.,FOR THE BENEFIT OF THE DESEVING POOR.,Micro,The Prevention Or Relief Of Poverty,E01004249,51.516896,-0.012433,45.539,1.0,0.584,0.242,31.901,0.313,0.638,40.54,32.262,2421.0,589.0,265.0
211536,SELDEN SOCIETY,"QUEEN MARY UNIVERSITY OF LONDON, 327 MILE END ROAD, LONDON",E1 4NS,31/12/2024,116834.0,76761.0,"Provides Advocacy/advice/information, Sponsors Or Undertakes Research",Education/training,Other Defined Groups,"To encourage the study and advance the knowledge of the history of English law, mainly by researching and publishing the original source-materials of the law, legal institutions and legal profession.","TO ENCOURAGE THE STUDY AND ADVANCE THE KNOWLEDGE OF THE HISTORY OF ENGLISH LAW, ESPECIALLY BY THE PUBLICATION OF ORIGINAL DOCUMENTS AND THE REPRINTING OR EDITING OF WORKS OF SUFFICENT RARITY AND IMPORTANCE.",Medium,Education/training,E01035670,51.524637,-0.040683,25.999,4.0,0.284,0.091,27.166,-0.035,0.741,36.527,38.044,4759.0,527.0,299.0
222262,THE ANNIE MACPHERSON HOME OF INDUSTRY (INCORPORATED),"BETHNAL GREEN MISSION CHURCH, 305 CAMBRIDGE HEATH ROAD, LONDON",E2 9LH,31/12/2024,329953.0,300970.0,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","As a church and charity, we seek to engage in long term, relational and innovative work which seeks to contribute to the personal, spiritual and social transformation and well-being of people living and working in Tower Hamlets, East London. We aim to support and empower people living in challenging and difficult circumstances to reach their full potential.","TO EDUCATE RELIGIOUSLY AND ACCORDING TO CHRISTIAN PROTESTANT AND EVANGELICAL TEACHING OF THE HOLY SCRIPTURES AND TO FEED,CLOTHE,MAINTAIN,TEACH,TRAIN,TREAT MEDICALLY AND PLACE OUT IN LIFE THE DESTITUTE POOR AND NEEDY.",Medium,Human Rights/religious Or Racial Harmony/equality Or Diversity,E01004203,51.528641,-0.055923,30.953,3.0,0.383,0.136,13.944,0.375,1.166,29.497,40.939,1791.0,250.0,166.0
228069,THE ARCHIBALD G BROWN 20TH ANNIVERSARY TRUST,"East London Tabernacle Baptist Church, 15 Burdett Road, LONDON, LONDON, London",E3 4TU,31/12/2024,1349.0,1950.0,Makes Grants To Individuals,"The Prevention Or Relief Of Poverty, Religious Activities",Other Defined Groups,Relief of financial hardship by the award of grants,"TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSONS BEING MEMBERS OF THE BAPTIST CHURCH WORSHIPPING IN THE EAST LONDON TABERNACLE, BURDETT ROAD, BOW, LONDON E3 AND ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY OR PROVIDING OR PAYING FOR ITEMS SERVICES OR FACILITIES CALCULATED TO REDUCE THE NEED HARDSHIP OR DISTRESS OF SUCH PERSONS (FOR FURTHER DETAILS SEE SCHEME SEALED 24TH JULY 1984)",Micro,Religious Activities,E01035675,51.524079,-0.034191,31.98,3.0,0.412,0.127,17.039,0.551,0.566,40.807,35.16,1865.0,309.0,140.0
