Unnamed: 0_x,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus,lsoa21,lat,long,Unnamed: 0_y,LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
1,206431,CHARITY OF MARY BAKER,"32 MONTHOPE ROAD, LONDON",E1 5LS,Bethnal Green and Stepney,02073771086,Not available,www.marybaker.org.uk,31/12/2024,8523.0,7908.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,The General Public/mankind,"The charity operates in the London Borough of Tower Hamlets to make grants to individuals and organisations for the relief of poverty, sickness, distress or hardship and gives priority to those living in the parish of Christ Church Spitalfields",TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSON RESIDENT IN THE AREA OF THE ANCIENT PARISH OF CHRISTCHURCH SPITALFIELDS WHO ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS.,True,Micro,Dormant,The Prevention Or Relief Of Poverty,E01004306,51.517898,-0.069152,4077.0,E01004306,Tower Hamlets 015A,E09000030,Tower Hamlets,36.117,5760.0,2.0,0.387,5779.0,2.0,0.19,7476.0,3.0,15.221,17960.0,6.0,0.546,9106.0,3.0,0.73,6662.0,2.0,38.717,2518.0,1.0,48.653,2506.0,1.0,0.57,5626.0,2.0,0.583,1307.0,1.0,-0.348,21744.0,7.0,0.251,13590.0,5.0,2.072,33743.0,10.0,6.372,739.0,1.0,0.378,9252.0,3.0,2.266,120.0,1.0,1926.0,302.0,204.0,1448.0
5,207772,HENRY FAWCETT FUND,"ST PETER'S CHURCH OFFICE, The Vicarage, St. Peter's Close, LONDON",E2 7AE,Bethnal Green and Stepney,02070330244,info@stpetersbethnalgreen.org,Not available,31/12/2024,103540.0,22604.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities",The charity is restricted to the benefit of people who are connected to the Parish of St Peters with St Thomas Bethnal Green.,"GENERAL BENEFIT OF POOR PERSONS, IF POSSIBLE THE INCOME TO BE CHIEFLY USED IN GIVING COUNTRY HOLIDAYS TO DESERVING CHILDREN OR INVALIDS OR OLD PERSONS OF EITHER SEX.",True,Medium,Dormant,Accommodation/housing,E01004204,51.529956,-0.064186,4001.0,E01004204,Tower Hamlets 005D,E09000030,Tower Hamlets,37.469,5300.0,2.0,0.472,3206.0,1.0,0.191,7379.0,3.0,18.864,15177.0,5.0,0.728,7154.0,3.0,0.473,9908.0,3.0,32.576,5066.0,2.0,44.911,3388.0,2.0,0.761,1323.0,1.0,0.636,830.0,1.0,-0.389,22367.0,7.0,0.292,9501.0,3.0,3.661,33625.0,10.0,5.47,1579.0,1.0,0.233,11484.0,4.0,2.219,154.0,1.0,1876.0,319.0,275.0,1336.0
6,208870,SALMON LANE MISSION,"168-170 SALMON LANE, LIMEHOUSE, LONDON",E14 7PQ,Poplar and Limehouse,02079879960,Not available,Not available,30/09/2024,15920.0,10862.0,Charitable company,"Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes",The General Public/mankind,"The work consists of promoting, organising, conducting and carry out gospel ministrations, spiritual guidance and uplift redemptive work among all ages, classes and creeds in the East End and elsewhere.","TO PROMOTE, ORGANISE, CONDUCT AND CARRY ON CHARITABLE WORK OF EVERY DESCRIPTION IN PARTICULAR GOSPEL MINISTRATIONS, SPIRITUAL GUIDANCE AND UPLIFT AND REDEMPTIVE WORK, HELP AND RELIEF OF THE POOR AND DESTITUTE OF ALL AGES CLASSES AND CREEDS IN EAST LONDON OR ELSEWHERE AND THE VISITATION, CARE AND COMFORT OF DISTRESSED WIDOWS AGED AND SICK PERSONS, POOR AILING AND AFFLICTED CHILDREN.",True,Small,Dormant,Overseas Aid/famine Relief,E01035690,51.51373,-0.033758,33683.0,E01035690,Tower Hamlets 023E,E09000030,Tower Hamlets,16.612,17643.0,6.0,0.237,13109.0,4.0,0.073,24709.0,8.0,13.312,19568.0,6.0,-0.03,16879.0,6.0,0.153,14517.0,5.0,26.087,9801.0,3.0,24.595,12327.0,4.0,0.557,6013.0,2.0,0.878,95.0,1.0,-0.043,17058.0,6.0,0.197,20559.0,7.0,6.891,33253.0,10.0,4.365,3150.0,1.0,-0.499,26262.0,8.0,1.518,1283.0,1.0,2106.0,284.0,48.0,1754.0
7,209117,THE STRANGERS REST MISSION,"Strangers Rest Church, 131 The Highway, LONDON",E1W 2BP,Bethnal Green and Stepney,0795 6188 505,mlrmullins@gmail.com,http://www.strangersrest.org/,30/09/2024,40208.0,48706.0,Other,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Disability, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","THE STRANGERS' REST MISSION IS A CHRISTIAN ORGANISATION AND CHURCH, FOUNDED IN 1877, WHICH SEEKS TO SERVE THE LOCAL MULTI CULTURAL COMMUNITY IN SHADWELL, EAST LONDON. THIS INCLUDES THE HOLDING OF WORSHIP SERVICES, CHILDRENS' AND YOUNG PEOPLES TEACHING AND RECREATIONAL ACTIVITIES. PROVIDING PRACTICAL HELP TO THOSE IN THE COMMUNITY IS AN IMPORTANT FUNCTION OF THE MISSION.",EVANGELISTIC CHRISTIAN MISSION PURPOSES IN THE EAST END OF LONDON.,True,Small,Dormant,Disability,E01004295,51.509574,-0.061751,4067.0,E01004295,Tower Hamlets 026C,E09000030,Tower Hamlets,39.106,4826.0,2.0,0.602,868.0,1.0,0.153,10980.0,4.0,21.833,13150.0,4.0,-0.004,16476.0,5.0,0.188,13981.0,5.0,42.923,1408.0,1.0,35.935,6506.0,2.0,0.861,443.0,1.0,0.623,932.0,1.0,-0.808,27733.0,9.0,0.34,5776.0,2.0,3.516,33637.0,10.0,7.036,380.0,1.0,-0.199,19993.0,6.0,2.193,181.0,1.0,2052.0,543.0,194.0,1326.0
9,210928,EAST LONDON NURSING SOCIETY TRUST,"45-55 Whitehorse Road, LONDON",E1 0ND,Bethnal Green and Stepney,02077909085,info@towerproject.org.uk,Not available,31/03/2024,17556.0,4896.0,Other,Makes Grants To Organisations,"The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies",Making grants to groups providing support for poor-sick resident in Tower Hamlets.,"TO RELIEVE IN CASES OF NEED PERSONS RESIDENT IN THE LONDON BOROUGH OF TOWER HAMLETS WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR IMFIRM.",True,Small,Dormant,Disability,E01004286,51.513692,-0.04062,4059.0,E01004286,Tower Hamlets 019C,E09000030,Tower Hamlets,38.909,4894.0,2.0,0.432,4299.0,2.0,0.223,5156.0,2.0,19.673,14592.0,5.0,0.458,10198.0,4.0,0.953,4494.0,2.0,37.938,2784.0,1.0,39.925,4958.0,2.0,0.508,7751.0,3.0,0.674,587.0,1.0,-0.624,25611.0,8.0,0.313,7672.0,3.0,6.577,33309.0,10.0,6.255,838.0,1.0,0.185,12251.0,4.0,1.827,619.0,1.0,2565.0,491.0,320.0,1786.0
10,211196,POPLAR METHODIST CHURCH SICK & POOR FUND,"Bow Road Methodist Church, 1 Merchant Street, LONDON",E3 4LY,Stratford and Bow,02088807301,admin@mcth.org.uk,Not available,31/08/2024,855.0,60.0,Other,Makes Grants To Individuals,The Prevention Or Relief Of Poverty,"Elderly/old People, Other Defined Groups",Support to needy people in the historical borough of Poplar,"GRANTS FOR POOR PERSONS RESIDING IN POPLAR WHO ARE SICK, INFIRM, CONVALESCENT OR IN NEED OF REST OR CHANGE OF AIR, TO DEFRAY THE EXPENSE OF RECUPERATIVE HOLIDAYS OR OF OBTAINING DOMESTIC HELP.",True,Micro,Dormant,The Prevention Or Relief Of Poverty,E01004268,51.526178,-0.02744,4048.0,E01004268,Tower Hamlets 012E,E09000030,Tower Hamlets,37.753,5222.0,2.0,0.515,2205.0,1.0,0.194,7083.0,3.0,22.486,12755.0,4.0,0.816,6295.0,2.0,0.068,15789.0,5.0,32.849,4914.0,2.0,33.627,7533.0,3.0,0.861,447.0,1.0,0.775,234.0,1.0,-0.743,26972.0,8.0,0.342,5596.0,2.0,7.3,33176.0,10.0,5.491,1558.0,1.0,0.026,15208.0,5.0,1.562,1179.0,1.0,1781.0,306.0,185.0,1352.0
11,211399,PARISH OF POPLAR BENEVOLENT FUND,"St. Michael's Vicarage, 164 St. Leonards Road, Poplar, LONDON",E14 6PW,Poplar and Limehouse,02079878625,allsaints.poplar@tiscali.co.uk,http://www.parishofpoplar.com/,31/12/2024,4590.0,1094.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty",Other Defined Groups,Small grants of money or the purchase of needed items for those in financial need within the borough/parish of Poplar.,FOR THE BENEFIT OF THE DESEVING POOR.,True,Micro,Dormant,The Prevention Or Relief Of Poverty,E01004249,51.516896,-0.012433,4036.0,E01004249,Tower Hamlets 018D,E09000030,Tower Hamlets,45.539,3256.0,1.0,0.584,1096.0,1.0,0.242,4127.0,2.0,31.901,8190.0,3.0,0.313,12027.0,4.0,0.638,7788.0,3.0,40.54,1976.0,1.0,32.262,8183.0,3.0,0.769,1208.0,1.0,0.619,964.0,1.0,-0.139,18510.0,6.0,0.379,3410.0,2.0,10.234,32564.0,10.0,6.615,602.0,1.0,0.118,13458.0,4.0,1.247,2163.0,1.0,2421.0,589.0,265.0,1645.0
12,211536,SELDEN SOCIETY,"QUEEN MARY UNIVERSITY OF LONDON, 327 MILE END ROAD, LONDON",E1 4NS,Bethnal Green and Stepney,02078823968,selden-society@qmul.ac.uk,www.seldensociety.ac.uk,31/12/2024,116834.0,76761.0,Other,"Provides Advocacy/advice/information, Sponsors Or Undertakes Research",Education/training,Other Defined Groups,"To encourage the study and advance the knowledge of the history of English law, mainly by researching and publishing the original source-materials of the law, legal institutions and legal profession.","TO ENCOURAGE THE STUDY AND ADVANCE THE KNOWLEDGE OF THE HISTORY OF ENGLISH LAW, ESPECIALLY BY THE PUBLICATION OF ORIGINAL DOCUMENTS AND THE REPRINTING OR EDITING OF WORKS OF SUFFICENT RARITY AND IMPORTANCE.",True,Medium,Dormant,Education/training,E01035670,51.524637,-0.040683,33663.0,E01035670,Tower Hamlets 010G,E09000030,Tower Hamlets,25.999,10488.0,4.0,0.284,10384.0,4.0,0.091,20602.0,7.0,27.166,10289.0,4.0,-0.035,16928.0,6.0,0.741,6539.0,2.0,36.527,3278.0,1.0,38.044,5661.0,2.0,0.781,1059.0,1.0,0.681,558.0,1.0,-0.186,19249.0,6.0,0.349,5154.0,2.0,5.773,33427.0,10.0,6.062,1000.0,1.0,0.044,14845.0,5.0,1.918,461.0,1.0,4759.0,527.0,299.0,3904.0
18,222262,THE ANNIE MACPHERSON HOME OF INDUSTRY (INCORPORATED),"BETHNAL GREEN MISSION CHURCH, 305 CAMBRIDGE HEATH ROAD, LONDON",E2 9LH,Bethnal Green and Stepney,02077294286,info@bgmc.org.uk,www.bethnalgreenmissionchurch.co.uk,31/12/2024,329953.0,300970.0,Charitable company,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","As a church and charity, we seek to engage in long term, relational and innovative work which seeks to contribute to the personal, spiritual and social transformation and well-being of people living and working in Tower Hamlets, East London. We aim to support and empower people living in challenging and difficult circumstances to reach their full potential.","TO EDUCATE RELIGIOUSLY AND ACCORDING TO CHRISTIAN PROTESTANT AND EVANGELICAL TEACHING OF THE HOLY SCRIPTURES AND TO FEED,CLOTHE,MAINTAIN,TEACH,TRAIN,TREAT MEDICALLY AND PLACE OUT IN LIFE THE DESTITUTE POOR AND NEEDY.",True,Medium,Dormant,Human Rights/religious Or Racial Harmony/equality Or Diversity,E01004203,51.528641,-0.055923,4000.0,E01004203,Tower Hamlets 005C,E09000030,Tower Hamlets,30.953,7827.0,3.0,0.383,5945.0,2.0,0.136,13045.0,4.0,13.944,19015.0,6.0,0.375,11223.0,4.0,1.166,2880.0,1.0,29.497,6925.0,3.0,40.939,4607.0,2.0,0.774,1134.0,1.0,0.584,1298.0,1.0,-0.517,24199.0,8.0,0.25,13676.0,5.0,3.082,33682.0,10.0,4.974,2195.0,1.0,0.023,15259.0,5.0,2.269,116.0,1.0,1791.0,250.0,166.0,1407.0
20,228069,THE ARCHIBALD G BROWN 20TH ANNIVERSARY TRUST,"East London Tabernacle Baptist Church, 15 Burdett Road, LONDON, LONDON, London",E3 4TU,Poplar and Limehouse,02089806125,admin@eltbaptistchurch.org,www.eltbaptistchurch.org,31/12/2024,1349.0,1950.0,Other,Makes Grants To Individuals,"The Prevention Or Relief Of Poverty, Religious Activities",Other Defined Groups,Relief of financial hardship by the award of grants,"TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSONS BEING MEMBERS OF THE BAPTIST CHURCH WORSHIPPING IN THE EAST LONDON TABERNACLE, BURDETT ROAD, BOW, LONDON E3 AND ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY OR PROVIDING OR PAYING FOR ITEMS SERVICES OR FACILITIES CALCULATED TO REDUCE THE NEED HARDSHIP OR DISTRESS OF SUCH PERSONS (FOR FURTHER DETAILS SEE SCHEME SEALED 24TH JULY 1984)",True,Micro,Dormant,Religious Activities,E01035675,51.524079,-0.034191,33668.0,E01035675,Tower Hamlets 014G,E09000030,Tower Hamlets,31.98,7380.0,3.0,0.412,4930.0,2.0,0.127,14235.0,5.0,17.039,16520.0,5.0,0.551,9054.0,3.0,0.566,8682.0,3.0,40.807,1903.0,1.0,35.16,6842.0,3.0,0.769,1212.0,1.0,0.691,510.0,1.0,-0.399,22528.0,7.0,0.274,11129.0,4.0,5.749,33430.0,10.0,6.699,552.0,1.0,-0.261,21318.0,7.0,2.211,160.0,1.0,1865.0,309.0,140.0,1439.0
