,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus
0,206225,TOWER HILL TRUST,"MARSHALL HOUSE, 66 NEWCOMEN STREET, LONDON",SE1 1YT,Bermondsey and Old Southwark,07926 927861,enquiries@towerhilltrust.org.uk,www.towerhilltrust.org.uk,30/04/2025,296895.0,188793.0,Other,"Makes Grants To Organisations, Provides Buildings/facilities/open Space, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","The Trust's objectives are to use its income for the people in the Trust's area for:1) provision of gardens and open spaces2) support for recreation and leisure facilities3) support for education facilities4) relief of the aged, handicapped and poor.The Trust's area covers Great Tower Hill, Tower Hill and the London Borough of Tower Hamlets.","THE PROMOTION OF CHARITABLE PURPOSES FOR THE GENERAL BENEFIT OF THE INHABITANTS OF THE AREA OF GREAT TOWER HILL, TOWER HILL AND THE LONDON BOROUGH OF TOWER HAMLETS, AND IN PARTICULAR BUT WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING IN ALL OR ANY OF THE FOLLOWING WAYS: (A) THE RELIEF OF THE AGED, IMPOTENT AND POOR; (B) THE RELIEF OF DISTRESS AND SICKNESS; (C) THE PROVISION AND SUPPORT (WITH THE OBJECT OF IMPROVING THE CONDITION OF LIFE FOR THE SAID INHABITANTS IN THE INTERESTS OF SOCIAL WELFARE) OF FACILITIES FOR RECREATION AND OTHER LEISURE-TIME OCCUPATION; (D) THE PROVISION AND SUPPORT OF EDUCATIONAL FACILITIES; (E) THE PROVISION OF GARDENS AND OPEN SPACES FOR THE GENERAL BENEFIT OF THE SAID INHABITANTS AND THE MAINTENANCE THEREOF.",False,Medium,Dormant,Accommodation/housing
1,206431,CHARITY OF MARY BAKER,"32 MONTHOPE ROAD, LONDON",E1 5LS,Bethnal Green and Stepney,02073771086,Not available,www.marybaker.org.uk,31/12/2024,8523.0,7908.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,The General Public/mankind,"The charity operates in the London Borough of Tower Hamlets to make grants to individuals and organisations for the relief of poverty, sickness, distress or hardship and gives priority to those living in the parish of Christ Church Spitalfields",TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSON RESIDENT IN THE AREA OF THE ANCIENT PARISH OF CHRISTCHURCH SPITALFIELDS WHO ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS.,True,Micro,Dormant,The Prevention Or Relief Of Poverty
2,207243,NORTON FOLGATE ALMSHOUSE CHARITIES,"The Trust Partnership Ltd, 6 Trull Farm Buildings, Trull, TETBURY, Gloucestershire",GL8 8SQ,South Cotswolds,01285 841900,nortonfolgate@thetrustpartnership.com,Not available,31/12/2024,240929.0,218271.0,Other,Provides Buildings/facilities/open Space,Accommodation/housing,Other Defined Groups,Provision of affordable almshouses for people in need in Spitalfields.,"The Objects of the Charity are for the public benefit and specifically restricted to:-

(1)	the provision of social housing in the form of almshouse accommodation for people who are in need, hardship or distress who are resident in the Area of Benefit at the time of their appointment SAVE THAT if there is a vacancy and there is no applicant who is qualified as aforesaid the Trustees may appoint a person who is in need, hardship or distress who is a resident in the London Borough of Tower Hamlets; and

(2)	such charitable purposes (according to the law of England and Wales) for the benefit of Residents (and former Residents) as the Trustees from time to time see fit.",False,Medium,Dormant,Accommodation/housing
3,207454,PROVIDENCE ROW CHARITY,"PROVIDENCE ROW, DELLOW CENTRE, 82 WENTWORTH STREET, LONDON",E1 7SA,Bethnal Green and Stepney,02074226382,info@providencerow.org.uk,www.providencerow.org.uk,31/03/2025,0.0,0.0,Other,Provides Other Finance,The Prevention Or Relief Of Poverty,Other Defined Groups,PROVIDENCE ROW CHARITY IS THE UNINCORPORATED PREDECESSOR TO THE INCORPORATED CHARITY PROVIDENCE ROW (1140192). PROVIDENCE ROW CHARITY CONTINUES IN EXISTENCE TO HOLD THE CHARITY'S PERMANENT ENDOWMENT AND TO RECEIVE ANY LEGACIES BEQUEATHED TO PROVIDENCE ROW CHARITY AFTER 31 MARCH 2011.  FOR DETAILS OF CURRENT ACTIVITIES SEARCH UNDER PROVIDENCE ROW (1140192).,"(1) THE OBJECT OF THE CHARITY IS THE RELIEF OF PERSONS WHO ARE IN NEED, HARDSHIP OR DISTRESS.
(2) THE COMMITTEE MAY RELIEVE PERSONS IN NEED BY:
(A) MAKING GRANTS OF MONEY TO THEM; OR
(B) PROVIDING OR PAYING FOR GOODS, SERVICES OR FACILITIES FOR THEM; OR 
(C) MAKING GRANTS OF MONEY TO OTHER PERSONS OR BODIES WHO PROVIDE GOODS, SERVICES OR FACILITIES TO THOSE IN NEED.",True,,Dormant,The Prevention Or Relief Of Poverty
4,207664,THE MAITLAND TRUST,"178A, Ember Lane, East Molesey, Surrey",KT8 0BS,Esher and Walton,07535987310,Not available,Not available,31/12/2024,13529.0,13668.0,Other,Makes Grants To Organisations,"General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing","Children/young People, Elderly/old People, People With Disabilities","The trust was registered in 1915. Its purpose was to assist TB patients and their families. The Trust aims to give money to help purchase those items which fall outside the scope of the statutory Social Services and NHS. In recent years the following organisations have benefited:St Francis Hospital, Katete, Zambia, GROW and TB Alert.","THE MAINTENANCE OF BEDS IN THE BERKS AND BUCKS JOINT SANATORIUM OR ANY SANATORIUM OR INSTITUTE APPROVED BY THE TRUSTEES, OR THE INCOME MAY BE USED IN ANY MANNER WHICH THE TRUSTEES MAY FROM TIME TO TIME THINK FIT.",False,Small,Dormant,Accommodation/housing
5,207772,HENRY FAWCETT FUND,"ST PETER'S CHURCH OFFICE, The Vicarage, St. Peter's Close, LONDON",E2 7AE,Bethnal Green and Stepney,02070330244,info@stpetersbethnalgreen.org,Not available,31/12/2024,103540.0,22604.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities",The charity is restricted to the benefit of people who are connected to the Parish of St Peters with St Thomas Bethnal Green.,"GENERAL BENEFIT OF POOR PERSONS, IF POSSIBLE THE INCOME TO BE CHIEFLY USED IN GIVING COUNTRY HOLIDAYS TO DESERVING CHILDREN OR INVALIDS OR OLD PERSONS OF EITHER SEX.",True,Medium,Dormant,Accommodation/housing
6,208870,SALMON LANE MISSION,"168-170 SALMON LANE, LIMEHOUSE, LONDON",E14 7PQ,Poplar and Limehouse,02079879960,Not available,Not available,30/09/2024,15920.0,10862.0,Charitable company,"Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes",The General Public/mankind,"The work consists of promoting, organising, conducting and carry out gospel ministrations, spiritual guidance and uplift redemptive work among all ages, classes and creeds in the East End and elsewhere.","TO PROMOTE, ORGANISE, CONDUCT AND CARRY ON CHARITABLE WORK OF EVERY DESCRIPTION IN PARTICULAR GOSPEL MINISTRATIONS, SPIRITUAL GUIDANCE AND UPLIFT AND REDEMPTIVE WORK, HELP AND RELIEF OF THE POOR AND DESTITUTE OF ALL AGES CLASSES AND CREEDS IN EAST LONDON OR ELSEWHERE AND THE VISITATION, CARE AND COMFORT OF DISTRESSED WIDOWS AGED AND SICK PERSONS, POOR AILING AND AFFLICTED CHILDREN.",True,Small,Dormant,Overseas Aid/famine Relief
7,209117,THE STRANGERS REST MISSION,"Strangers Rest Church, 131 The Highway, LONDON",E1W 2BP,Bethnal Green and Stepney,0795 6188 505,mlrmullins@gmail.com,http://www.strangersrest.org/,30/09/2024,40208.0,48706.0,Other,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Disability, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","THE STRANGERS' REST MISSION IS A CHRISTIAN ORGANISATION AND CHURCH, FOUNDED IN 1877, WHICH SEEKS TO SERVE THE LOCAL MULTI CULTURAL COMMUNITY IN SHADWELL, EAST LONDON. THIS INCLUDES THE HOLDING OF WORSHIP SERVICES, CHILDRENS' AND YOUNG PEOPLES TEACHING AND RECREATIONAL ACTIVITIES. PROVIDING PRACTICAL HELP TO THOSE IN THE COMMUNITY IS AN IMPORTANT FUNCTION OF THE MISSION.",EVANGELISTIC CHRISTIAN MISSION PURPOSES IN THE EAST END OF LONDON.,True,Small,Dormant,Disability
8,210622,INSTITUTE OF COMMUNITY STUDIES,"The Young Foundation, 18 Victoria Park Square, Bethnal Green, London",E2 9PF,Bethnal Green and Stepney,02089806263,reception@youngfoundation.org,www.youngfoundation.org,31/12/2024,0.0,0.0,Trust,Other Charitable Activities,Economic/community Development/employment,The General Public/mankind,"The activities of the Institute of Community Studies were transferred to the Young Foundation, (charity number 274345), in April 2005.",THE PROMOTION OF RESEARCH IN THE SOCIAL SERVICES AND FOR THE EDUCATIONAL PURPOSES INCIDENTAL THERE TO.,True,,Dormant,Economic/community Development/employment
9,210928,EAST LONDON NURSING SOCIETY TRUST,"45-55 Whitehorse Road, LONDON",E1 0ND,Bethnal Green and Stepney,02077909085,info@towerproject.org.uk,Not available,31/03/2024,17556.0,4896.0,Other,Makes Grants To Organisations,"The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies",Making grants to groups providing support for poor-sick resident in Tower Hamlets.,"TO RELIEVE IN CASES OF NEED PERSONS RESIDENT IN THE LONDON BOROUGH OF TOWER HAMLETS WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR IMFIRM.",True,Small,Dormant,Disability
