,LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
3995,E01004198,Tower Hamlets 002B,E09000030,Tower Hamlets,45.952,3183,1,0.49,2736,1,0.254,3521,2,25.669,11023,4,1.032,4364,2,1.031,3853,2,39.225,2343,1,34.347,7176,3,0.609,4455,2,0.752,292,1,-0.076,17559,6,0.328,6530,2,4.407,33563,10,6.439,694,1,-0.206,20117,6,2.033,331,1,1521,271,228,1072
3996,E01004199,Tower Hamlets 002C,E09000030,Tower Hamlets,44.165,3553,2,0.541,1739,1,0.222,5208,2,27.729,10004,3,0.812,6339,2,0.805,5846,2,37.962,2774,1,34.365,7166,3,0.802,869,1,0.757,282,1,-0.272,20534,7,0.358,4560,2,4.085,33584,10,6.272,825,1,-0.317,22501,7,2.218,155,1,1775,361,204,1267
3997,E01004200,Tower Hamlets 005A,E09000030,Tower Hamlets,22.522,12777,4,0.255,12002,4,0.094,19975,6,4.046,29356,9,0.585,8697,3,0.373,11276,4,28.353,7836,3,45.454,3236,1,0.573,5523,2,0.983,12,1,-0.757,27167,9,0.135,29353,9,3.695,33619,10,4.775,2476,1,0.437,8396,3,1.792,666,1,1524,173,74,1295
3998,E01004201,Tower Hamlets 002D,E09000030,Tower Hamlets,25.579,10737,4,0.357,6918,3,0.135,13211,4,9.806,22876,7,0.179,13813,5,0.253,13009,4,32.414,5162,2,33.559,7561,3,0.607,4523,2,0.425,4084,2,-0.616,25501,8,0.21,18775,6,7.507,33128,10,5.42,1638,1,-0.153,18983,6,1.864,547,1,1673,277,255,1243
3999,E01004202,Tower Hamlets 005B,E09000030,Tower Hamlets,24.885,11187,4,0.324,8396,3,0.123,14876,5,11.999,20787,7,-0.077,17558,6,0.603,8198,3,31.697,5590,2,37.415,5918,2,0.599,4768,2,0.487,2686,1,-0.14,18536,6,0.192,21267,7,4.61,33540,10,5.328,1745,1,0.053,14683,5,1.848,572,1,2115,381,144,1624
4000,E01004203,Tower Hamlets 005C,E09000030,Tower Hamlets,30.953,7827,3,0.383,5945,2,0.136,13045,4,13.944,19015,6,0.375,11223,4,1.166,2880,1,29.497,6925,3,40.939,4607,2,0.774,1134,1,0.584,1298,1,-0.517,24199,8,0.25,13676,5,3.082,33682,10,4.974,2195,1,0.023,15259,5,2.269,116,1,1791,250,166,1407
4001,E01004204,Tower Hamlets 005D,E09000030,Tower Hamlets,37.469,5300,2,0.472,3206,1,0.191,7379,3,18.864,15177,5,0.728,7154,3,0.473,9908,3,32.576,5066,2,44.911,3388,2,0.761,1323,1,0.636,830,1,-0.389,22367,7,0.292,9501,3,3.661,33625,10,5.47,1579,1,0.233,11484,4,2.219,154,1,1876,319,275,1336
4002,E01004205,Tower Hamlets 013A,E09000030,Tower Hamlets,47.599,2820,1,0.605,836,1,0.232,4674,2,22.416,12797,4,0.763,6815,3,0.761,6330,2,41.219,1786,1,38.05,5657,2,0.889,314,1,0.916,70,1,-0.97,29297,9,0.349,5158,2,3.458,33644,10,6.768,511,1,-0.073,17271,6,2.179,198,1,2279,505,219,1627
4003,E01004206,Tower Hamlets 013B,E09000030,Tower Hamlets,52.061,2022,1,0.61,795,1,0.255,3463,2,34.258,7326,3,0.966,4913,2,0.864,5283,2,36.583,3255,1,45.085,3344,1,0.86,451,1,0.858,115,1,-0.719,26719,8,0.42,1748,1,3.511,33639,10,6.082,984,1,0.335,9923,3,1.999,364,1,1461,313,160,1051
4004,E01004207,Tower Hamlets 011A,E09000030,Tower Hamlets,43.476,3709,2,0.536,1808,1,0.199,6787,3,18.824,15201,5,0.892,5532,2,0.933,4664,2,36.062,3456,2,45.598,3203,1,0.976,108,1,0.675,585,1,-0.181,19163,6,0.274,11166,4,4.211,33574,10,5.996,1053,1,0.227,11576,4,2.31,88,1,1480,274,173,1090
