,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus
1,206431,CHARITY OF MARY BAKER,"32 MONTHOPE ROAD, LONDON",E1 5LS,Bethnal Green and Stepney,02073771086,Not available,www.marybaker.org.uk,31/12/2024,8523.0,7908.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations",The Prevention Or Relief Of Poverty,The General Public/mankind,"The charity operates in the London Borough of Tower Hamlets to make grants to individuals and organisations for the relief of poverty, sickness, distress or hardship and gives priority to those living in the parish of Christ Church Spitalfields",TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSON RESIDENT IN THE AREA OF THE ANCIENT PARISH OF CHRISTCHURCH SPITALFIELDS WHO ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS.,True,Micro,No Filing,The Prevention Or Relief Of Poverty
5,207772,HENRY FAWCETT FUND,"ST PETER'S CHURCH OFFICE, The Vicarage, St. Peter's Close, LONDON",E2 7AE,Bethnal Green and Stepney,02070330244,info@stpetersbethnalgreen.org,Not available,31/12/2024,103540.0,22604.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities",The charity is restricted to the benefit of people who are connected to the Parish of St Peters with St Thomas Bethnal Green.,"GENERAL BENEFIT OF POOR PERSONS, IF POSSIBLE THE INCOME TO BE CHIEFLY USED IN GIVING COUNTRY HOLIDAYS TO DESERVING CHILDREN OR INVALIDS OR OLD PERSONS OF EITHER SEX.",True,Medium,No Filing,Accommodation/housing
6,208870,SALMON LANE MISSION,"168-170 SALMON LANE, LIMEHOUSE, LONDON",E14 7PQ,Poplar and Limehouse,02079879960,Not available,Not available,30/09/2024,15920.0,10862.0,Charitable company,"Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes",The General Public/mankind,"The work consists of promoting, organising, conducting and carry out gospel ministrations, spiritual guidance and uplift redemptive work among all ages, classes and creeds in the East End and elsewhere.","TO PROMOTE, ORGANISE, CONDUCT AND CARRY ON CHARITABLE WORK OF EVERY DESCRIPTION IN PARTICULAR GOSPEL MINISTRATIONS, SPIRITUAL GUIDANCE AND UPLIFT AND REDEMPTIVE WORK, HELP AND RELIEF OF THE POOR AND DESTITUTE OF ALL AGES CLASSES AND CREEDS IN EAST LONDON OR ELSEWHERE AND THE VISITATION, CARE AND COMFORT OF DISTRESSED WIDOWS AGED AND SICK PERSONS, POOR AILING AND AFFLICTED CHILDREN.",True,Small,No Filing,Overseas Aid/famine Relief
7,209117,THE STRANGERS REST MISSION,"Strangers Rest Church, 131 The Highway, LONDON",E1W 2BP,Bethnal Green and Stepney,0795 6188 505,mlrmullins@gmail.com,http://www.strangersrest.org/,30/09/2024,40208.0,48706.0,Other,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Disability, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","THE STRANGERS' REST MISSION IS A CHRISTIAN ORGANISATION AND CHURCH, FOUNDED IN 1877, WHICH SEEKS TO SERVE THE LOCAL MULTI CULTURAL COMMUNITY IN SHADWELL, EAST LONDON. THIS INCLUDES THE HOLDING OF WORSHIP SERVICES, CHILDRENS' AND YOUNG PEOPLES TEACHING AND RECREATIONAL ACTIVITIES. PROVIDING PRACTICAL HELP TO THOSE IN THE COMMUNITY IS AN IMPORTANT FUNCTION OF THE MISSION.",EVANGELISTIC CHRISTIAN MISSION PURPOSES IN THE EAST END OF LONDON.,True,Small,No Filing,Disability
9,210928,EAST LONDON NURSING SOCIETY TRUST,"45-55 Whitehorse Road, LONDON",E1 0ND,Bethnal Green and Stepney,02077909085,info@towerproject.org.uk,Not available,31/03/2024,17556.0,4896.0,Other,Makes Grants To Organisations,"The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies",Making grants to groups providing support for poor-sick resident in Tower Hamlets.,"TO RELIEVE IN CASES OF NEED PERSONS RESIDENT IN THE LONDON BOROUGH OF TOWER HAMLETS WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR IMFIRM.",True,Small,No Filing,Disability
10,211196,POPLAR METHODIST CHURCH SICK & POOR FUND,"Bow Road Methodist Church, 1 Merchant Street, LONDON",E3 4LY,Stratford and Bow,02088807301,admin@mcth.org.uk,Not available,31/08/2024,855.0,60.0,Other,Makes Grants To Individuals,The Prevention Or Relief Of Poverty,"Elderly/old People, Other Defined Groups",Support to needy people in the historical borough of Poplar,"GRANTS FOR POOR PERSONS RESIDING IN POPLAR WHO ARE SICK, INFIRM, CONVALESCENT OR IN NEED OF REST OR CHANGE OF AIR, TO DEFRAY THE EXPENSE OF RECUPERATIVE HOLIDAYS OR OF OBTAINING DOMESTIC HELP.",True,Micro,No Filing,The Prevention Or Relief Of Poverty
11,211399,PARISH OF POPLAR BENEVOLENT FUND,"St. Michael's Vicarage, 164 St. Leonards Road, Poplar, LONDON",E14 6PW,Poplar and Limehouse,02079878625,allsaints.poplar@tiscali.co.uk,http://www.parishofpoplar.com/,31/12/2024,4590.0,1094.0,Other,"Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty",Other Defined Groups,Small grants of money or the purchase of needed items for those in financial need within the borough/parish of Poplar.,FOR THE BENEFIT OF THE DESEVING POOR.,True,Micro,No Filing,The Prevention Or Relief Of Poverty
12,211536,SELDEN SOCIETY,"QUEEN MARY UNIVERSITY OF LONDON, 327 MILE END ROAD, LONDON",E1 4NS,Bethnal Green and Stepney,02078823968,selden-society@qmul.ac.uk,www.seldensociety.ac.uk,31/12/2024,116834.0,76761.0,Other,"Provides Advocacy/advice/information, Sponsors Or Undertakes Research",Education/training,Other Defined Groups,"To encourage the study and advance the knowledge of the history of English law, mainly by researching and publishing the original source-materials of the law, legal institutions and legal profession.","TO ENCOURAGE THE STUDY AND ADVANCE THE KNOWLEDGE OF THE HISTORY OF ENGLISH LAW, ESPECIALLY BY THE PUBLICATION OF ORIGINAL DOCUMENTS AND THE REPRINTING OR EDITING OF WORKS OF SUFFICENT RARITY AND IMPORTANCE.",True,Medium,No Filing,Education/training
18,222262,THE ANNIE MACPHERSON HOME OF INDUSTRY (INCORPORATED),"BETHNAL GREEN MISSION CHURCH, 305 CAMBRIDGE HEATH ROAD, LONDON",E2 9LH,Bethnal Green and Stepney,02077294286,info@bgmc.org.uk,www.bethnalgreenmissionchurch.co.uk,31/12/2024,329953.0,300970.0,Charitable company,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","As a church and charity, we seek to engage in long term, relational and innovative work which seeks to contribute to the personal, spiritual and social transformation and well-being of people living and working in Tower Hamlets, East London. We aim to support and empower people living in challenging and difficult circumstances to reach their full potential.","TO EDUCATE RELIGIOUSLY AND ACCORDING TO CHRISTIAN PROTESTANT AND EVANGELICAL TEACHING OF THE HOLY SCRIPTURES AND TO FEED,CLOTHE,MAINTAIN,TEACH,TRAIN,TREAT MEDICALLY AND PLACE OUT IN LIFE THE DESTITUTE POOR AND NEEDY.",True,Medium,No Filing,Human Rights/religious Or Racial Harmony/equality Or Diversity
20,228069,THE ARCHIBALD G BROWN 20TH ANNIVERSARY TRUST,"East London Tabernacle Baptist Church, 15 Burdett Road, LONDON, LONDON, London",E3 4TU,Poplar and Limehouse,02089806125,admin@eltbaptistchurch.org,www.eltbaptistchurch.org,31/12/2024,1349.0,1950.0,Other,Makes Grants To Individuals,"The Prevention Or Relief Of Poverty, Religious Activities",Other Defined Groups,Relief of financial hardship by the award of grants,"TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSONS BEING MEMBERS OF THE BAPTIST CHURCH WORSHIPPING IN THE EAST LONDON TABERNACLE, BURDETT ROAD, BOW, LONDON E3 AND ARE IN CONDITIONS OF NEED HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY OR PROVIDING OR PAYING FOR ITEMS SERVICES OR FACILITIES CALCULATED TO REDUCE THE NEED HARDSHIP OR DISTRESS OF SUCH PERSONS (FOR FURTHER DETAILS SEE SCHEME SEALED 24TH JULY 1984)",True,Micro,No Filing,Religious Activities
