,pcd,lsoa21,lat,long,oslaua
0,E1  0AA,E01004298,51.512498,-0.052071,E09000030
1,E1  0AB,E01004305,51.513386,-0.050852,E09000030
2,E1  0AD,E01004298,51.512911,-0.055296,E09000030
3,E1  0AE,E01004303,51.510672,-0.052567,E09000030
4,E1  0AF,E01004300,51.510864,-0.051161,E09000030
5,E1  0AG,E01004298,51.513394,-0.054008,E09000030
6,E1  0AH,E01004300,51.51113,-0.051438,E09000030
7,E1  0AJ,E01004303,51.51126,-0.052758,E09000030
8,E1  0AL,E01004303,51.511003,-0.052495,E09000030
9,E1  0AN,E01004303,51.511298,-0.052339,E09000030
10,E1  0AP,E01004300,51.511395,-0.051686,E09000030
11,E1  0AQ,E01004298,51.511552,-0.050858,E09000030
12,E1  0AR,E01004303,51.511599,-0.052066,E09000030
13,E1  0AS,E01004303,51.511573,-0.052658,E09000030
14,E1  0AT,E01004298,51.513148,-0.054364,E09000030
15,E1  0AU,E01004302,51.511315,-0.053361,E09000030
16,E1  0AW,E01004300,51.511106,-0.051655,E09000030
17,E1  0AX,E01004302,51.511315,-0.053361,E09000030
18,E1  0AY,E01004298,51.51288,-0.053395,E09000030
19,E1  0AZ,E01004298,51.512535,-0.054304,E09000030
20,E1  0BA,E01004298,51.512599,-0.053811,E09000030
21,E1  0BB,E01004298,51.513657,-0.053636,E09000030
22,E1  0BD,E01004298,51.513708,-0.052899,E09000030
23,E1  0BE,E01004300,51.511738,-0.051253,E09000030
24,E1  0BF,E01004298,51.513077,-0.053863,E09000030
25,E1  0BG,E01004298,51.512561,-0.052616,E09000030
26,E1  0BH,E01004301,51.510462,-0.060531,E09000030
27,E1  0BJ,E01004295,51.510177,-0.061235,E09000030
28,E1  0BL,E01004301,51.510931,-0.060036,E09000030
29,E1  0BN,E01004298,51.51203,-0.052019,E09000030
30,E1  0BP,E01004301,51.510165,-0.056682,E09000030
31,E1  0BQ,E01004300,51.511252,-0.051188,E09000030
32,E1  0BS,E01004302,51.510627,-0.056345,E09000030
33,E1  0BT,E01004302,51.51053,-0.05596,E09000030
34,E1  0BU,E01004302,51.51008,-0.055922,E09000030
35,E1  0BW,E01004301,51.510759,-0.056743,E09000030
36,E1  0BX,E01004302,51.510869,-0.055801,E09000030
37,E1  0BY,E01004301,51.510216,-0.054907,E09000030
38,E1  0BZ,E01004301,51.510216,-0.054907,E09000030
39,E1  0DA,E01004301,51.510199,-0.056565,E09000030
40,E1  0DB,E01004298,51.512412,-0.053358,E09000030
41,E1  0DD,E01004302,51.510988,-0.055335,E09000030
42,E1  0DE,E01004301,51.510971,-0.057584,E09000030
43,E1  0DF,E01004301,51.510184,-0.057286,E09000030
44,E1  0DG,E01004301,51.510605,-0.060439,E09000030
45,E1  0DH,E01004301,51.510682,-0.058058,E09000030
46,E1  0DJ,E01004298,51.51261,-0.05015,E09000030
47,E1  0DL,E01004305,51.513286,-0.049126,E09000030
48,E1  0DN,E01004301,51.510306,-0.055451,E09000030
49,E1  0DP,E01004305,51.513308,-0.049414,E09000030
50,E1  0DQ,E01004305,51.513371,-0.048849,E09000030
51,E1  0DR,E01004301,51.510953,-0.059185,E09000030
52,E1  0DS,E01004298,51.512917,-0.052918,E09000030
53,E1  0DT,E01004305,51.512804,-0.049349,E09000030
54,E1  0DU,E01004305,51.512564,-0.049546,E09000030
55,E1  0DW,E01004301,51.509938,-0.056576,E09000030
56,E1  0DX,E01004305,51.511712,-0.050188,E09000030
57,E1  0DY,E01004303,51.5101,-0.053327,E09000030
58,E1  0DZ,E01004305,51.511707,-0.050477,E09000030
59,E1  0EA,E01004305,51.512509,-0.048929,E09000030
60,E1  0EB,E01004300,51.511265,-0.050366,E09000030
61,E1  0ED,E01004303,51.510165,-0.052387,E09000030
62,E1  0EE,E01004303,51.510462,-0.052374,E09000030
63,E1  0EF,E01004305,51.511904,-0.048782,E09000030
64,E1  0EG,E01004305,51.512365,-0.048935,E09000030
65,E1  0EH,E01004303,51.510557,-0.054287,E09000030
66,E1  0EJ,E01004303,51.510091,-0.053341,E09000030
67,E1  0EL,E01004305,51.511815,-0.049362,E09000030
68,E1  0EN,E01035682,51.517165,-0.040716,E09000030
69,E1  0EP,E01004289,51.515601,-0.047773,E09000030
70,E1  0EQ,E01004303,51.509962,-0.053145,E09000030
71,E1  0ER,E01004289,51.515625,-0.048147,E09000030
72,E1  0ES,E01004289,51.515441,-0.048414,E09000030
73,E1  0ET,E01004289,51.515576,-0.048409,E09000030
74,E1  0EU,E01004295,51.51031,-0.061633,E09000030
75,E1  0EW,E01004301,51.510612,-0.05979,E09000030
76,E1  0EX,E01004295,51.510913,-0.061694,E09000030
77,E1  0EY,E01004295,51.510951,-0.061274,E09000030
78,E1  0EZ,E01004295,51.509544,-0.061579,E09000030
79,E1  0FA,E01035682,51.51727,-0.038938,E09000030
80,E1  0FB,E01004289,51.515151,-0.048254,E09000030
81,E1  0FD,E01032769,51.512603,-0.042684,E09000030
82,E1  0FE,E01004303,51.51245,-0.043253,E09000030
83,E1  0FF,E01004303,51.512105,-0.043556,E09000030
84,E1  0FG,E01032769,51.512726,-0.043587,E09000030
85,E1  0FH,E01032769,51.512618,-0.043592,E09000030
86,E1  0FJ,E01004286,51.512921,-0.04074,E09000030
87,E1  0FL,E01004286,51.513013,-0.04088,E09000030
88,E1  0FN,E01004286,51.513,-0.040606,E09000030
89,E1  0FP,E01032769,51.512726,-0.043587,E09000030
90,E1  0FU,E01004302,51.511691,-0.05385,E09000030
91,E1  0HA,E01004289,51.513712,-0.048834,E09000030
92,E1  0HE,E01004305,51.513485,-0.048671,E09000030
93,E1  0HF,E01004289,51.513672,-0.048577,E09000030
94,E1  0HH,E01004303,51.512514,-0.044389,E09000030
95,E1  0HJ,E01004288,51.513273,-0.042973,E09000030
96,E1  0HL,E01032769,51.51249,-0.042949,E09000030
97,E1  0HQ,E01004289,51.513517,-0.047387,E09000030
98,E1  0HR,E01032769,51.512569,-0.042268,E09000030
99,E1  0HS,E01032769,51.512773,-0.043167,E09000030
100,E1  0HT,E01032769,51.51249,-0.042949,E09000030
101,E1  0HU,E01004303,51.511592,-0.042987,E09000030
102,E1  0HW,E01032769,51.51249,-0.042949,E09000030
103,E1  0HX,E01004303,51.51302,-0.043978,E09000030
104,E1  0HY,E01032769,51.512879,-0.042543,E09000030
105,E1  0HZ,E01032769,51.51249,-0.042949,E09000030
106,E1  0JA,E01004322,51.519027,-0.058048,E09000030
107,E1  0JB,E01032769,51.51283,-0.042271,E09000030
108,E1  0JD,E01032769,51.51249,-0.042949,E09000030
109,E1  0JF,E01004303,51.512514,-0.044389,E09000030
110,E1  0JG,E01032769,51.512724,-0.044005,E09000030
111,E1  0JH,E01004303,51.511761,-0.044522,E09000030
112,E1  0JJ,E01004305,51.512861,-0.044691,E09000030
113,E1  0JL,E01004305,51.513057,-0.044567,E09000030
114,E1  0JN,E01004305,51.513016,-0.046457,E09000030
115,E1  0JP,E01004303,51.512611,-0.044788,E09000030
116,E1  0JQ,E01004303,51.512144,-0.043223,E09000030
117,E1  0JR,E01004303,51.511899,-0.044156,E09000030
118,E1  0JS,E01004303,51.511884,-0.043825,E09000030
119,E1  0JW,E01004303,51.511786,-0.04491,E09000030
120,E1  0LA,E01004287,51.514346,-0.052886,E09000030
121,E1  0LB,E01004305,51.513566,-0.049749,E09000030
122,E1  0LD,E01004305,51.512929,-0.046101,E09000030
123,E1  0LE,E01004305,51.512935,-0.045337,E09000030
124,E1  0LF,E01004305,51.513533,-0.051552,E09000030
125,E1  0LG,E01004305,51.513441,-0.049264,E09000030
126,E1  0LH,E01004305,51.512282,-0.047166,E09000030
127,E1  0LJ,E01004305,51.512689,-0.045722,E09000030
128,E1  0LL,E01004305,51.512071,-0.047449,E09000030
129,E1  0LN,E01004305,51.511608,-0.047238,E09000030
130,E1  0LP,E01004305,51.512593,-0.048046,E09000030
131,E1  0LQ,E01004305,51.513258,-0.048565,E09000030
132,E1  0LR,E01004305,51.513566,-0.049749,E09000030
133,E1  0LS,E01004305,51.513597,-0.050526,E09000030
134,E1  0LT,E01004303,51.511894,-0.046044,E09000030
135,E1  0LW,E01004305,51.511561,-0.048162,E09000030
136,E1  0NA,E01004288,51.515163,-0.042546,E09000030
137,E1  0NB,E01004288,51.514136,-0.042979,E09000030
138,E1  0ND,E01004286,51.513692,-0.04062,E09000030
139,E1  0NE,E01004288,51.513076,-0.04141,E09000030
140,E1  0NF,E01004288,51.514168,-0.041104,E09000030
141,E1  0NG,E01004288,51.5145,-0.041594,E09000030
142,E1  0NH,E01004322,51.519027,-0.058048,E09000030
143,E1  0NJ,E01004288,51.514675,-0.040794,E09000030
144,E1  0NL,E01004286,51.515231,-0.040669,E09000030
145,E1  0NN,E01004288,51.51555,-0.040929,E09000030
146,E1  0NP,E01035682,51.517372,-0.040693,E09000030
147,E1  0NQ,E01004288,51.515168,-0.04122,E09000030
148,E1  0NR,E01035682,51.516884,-0.041665,E09000030
149,E1  0NS,E01004286,51.513383,-0.041498,E09000030
150,E1  0NT,E01004288,51.514878,-0.041074,E09000030
151,E1  0NU,E01004288,51.514707,-0.042147,E09000030
152,E1  0NW,E01035682,51.517272,-0.04012,E09000030
153,E1  0NX,E01004288,51.51553,-0.041867,E09000030
154,E1  0NY,E01035682,51.517272,-0.039025,E09000030
155,E1  0NZ,E01035682,51.516988,-0.039787,E09000030
156,E1  0PA,E01004289,51.515282,-0.048594,E09000030
157,E1  0PB,E01004289,51.515526,-0.049175,E09000030
158,E1  0PD,E01004287,51.515497,-0.050689,E09000030
159,E1  0PE,E01004287,51.515894,-0.050254,E09000030
160,E1  0PF,E01004287,51.516377,-0.050075,E09000030
161,E1  0PG,E01004287,51.515622,-0.051736,E09000030
162,E1  0PH,E01004287,51.514497,-0.051136,E09000030
163,E1  0PJ,E01004287,51.515152,-0.051021,E09000030
164,E1  0PL,E01004287,51.515255,-0.052386,E09000030
165,E1  0PN,E01004287,51.514801,-0.051051,E09000030
166,E1  0PP,E01004289,51.514924,-0.047586,E09000030
167,E1  0PQ,E01004289,51.515133,-0.048802,E09000030
168,E1  0PR,E01004289,51.513606,-0.046792,E09000030
169,E1  0PS,E01004289,51.513925,-0.047571,E09000030
170,E1  0PT,E01004289,51.514362,-0.046818,E09000030
171,E1  0PU,E01004289,51.51506,-0.047162,E09000030
172,E1  0PW,E01004287,51.514604,-0.05214,E09000030
173,E1  0PX,E01004287,51.514909,-0.052113,E09000030
174,E1  0PY,E01004287,51.51475,-0.052826,E09000030
175,E1  0PZ,E01004289,51.515195,-0.047661,E09000030
176,E1  0QA,E01004289,51.513522,-0.044447,E09000030
177,E1  0QB,E01004289,51.514105,-0.045402,E09000030
178,E1  0QD,E01004289,51.514266,-0.044818,E09000030
179,E1  0QE,E01004289,51.51536,-0.045737,E09000030
180,E1  0QF,E01004289,51.514424,-0.046195,E09000030
181,E1  0QG,E01004289,51.514782,-0.046627,E09000030
182,E1  0QH,E01004283,51.515536,-0.04707,E09000030
183,E1  0QJ,E01004283,51.516229,-0.046594,E09000030
