pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21,ruc21
"E1  0AA","E1   0AA","E1 0AA","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535267","0181084","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021641","00BGGK","E65000001","E01004298","E02000885","5","7A1","E00021641","E01004298","E02000885","E33036280","E38000255","E63012023","A1","3A1",51.512498,-0.052071,"E37000051","","E23000001",3911,"E56000028","E54000029","E00021641","E01004298","E02000885","UN1"
"E1  0AB","E1   0AB","E1 0AB","198001","200911","E99999999","E99999999","E09000030","E05009332","E43000220","0","535349","0181185","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021662","00BGGK","E65000001","E01004305","E02000885","5","7A2","E00021662","E01004305","E02000885","E33036283","E38000255","E63012023","A1","3B2",51.513386,-0.050852,"E37000051","","E23000001",7611,"E56000028","E54000029","E00021662","E01004305","E02000885","UN1"
"E1  0AD","E1   0AD","E1 0AD","200604","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535042","0181124","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021646","00BGGK","E65000001","E01004298","E02000885","5","7B2","E00021646","E01004298","E02000885","E33036280","E38000255","E63012023","A1","3B2",51.512911,-0.055296,"E37000051","","E23000001",3911,"E56000028","E54000029","E00021646","E01004298","E02000885","UN1"
"E1  0AE","E1   0AE","E1 0AE","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535238","0180880","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021642","00BGGK","E65000001","E01004303","E02000888","5","7B2","E00021642","E01004303","E02000888","E33036294","E38000255","E63012023","A1","3B2",51.510672,-0.052567,"E37000051","","E23000001",11397,"E56000028","E54000029","E00021642","E01004303","E02000888","UN1"
"E1  0AF","E1   0AF","E1 0AF","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535335","0180904","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021643","00BGGK","E65000001","E01004300","E02000885","5","7B2","E00021643","E01004300","E02000885","E33036280","E38000255","E63012023","A1","3B2",51.510864,-0.051161,"E37000051","","E23000001",5313,"E56000028","E54000029","E00021643","E01004300","E02000885","UN1"
"E1  0AG","E1   0AG","E1 0AG","200303","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535130","0181180","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021641","00BGGK","E65000001","E01004298","E02000885","5","7A1","E00021641","E01004298","E02000885","E33036280","E38000255","E63012023","A1","3A1",51.513394,-0.054008,"E37000051","","E23000001",3911,"E56000028","E54000029","E00021641","E01004298","E02000885","UN1"
"E1  0AH","E1   0AH","E1 0AH","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535315","0180933","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021643","00BGGK","E65000001","E01004300","E02000885","5","7B2","E00021643","E01004300","E02000885","E33036280","E38000255","E63012023","A1","3B2",51.511130,-0.051438,"E37000051","","E23000001",5313,"E56000028","E54000029","E00021643","E01004300","E02000885","UN1"
"E1  0AJ","E1   0AJ","E1 0AJ","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535223","0180945","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021642","00BGGK","E65000001","E01004303","E02000888","5","7B2","E00021642","E01004303","E02000888","E33036294","E38000255","E63012023","A1","3B2",51.511260,-0.052758,"E37000051","","E23000001",11397,"E56000028","E54000029","E00021642","E01004303","E02000888","UN1"
"E1  0AL","E1   0AL","E1 0AL","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535242","0180917","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021642","00BGGK","E65000001","E01004303","E02000888","5","7B2","E00021642","E01004303","E02000888","E33036294","E38000255","E63012023","A1","3B2",51.511003,-0.052495,"E37000051","","E23000001",11397,"E56000028","E54000029","E00021642","E01004303","E02000888","UN1"
"E1  0AN","E1   0AN","E1 0AN","198001","","E99999999","E99999999","E09000030","E05009332","E43000220","0","535252","0180950","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGGK","E00021642","00BGGK","E65000001","E01004303","E02000888","5","7B2","E00021642","E01004303","E02000888","E33036294","E38000255","E63012023","A1","3B2",51.511298,-0.052339,"E37000051","","E23000001",11397,"E56000028","E54000029","E00021642","E01004303","E02000888","UN1"
