,Charity Postcode
0,SE1 1YT
1,E1 5LS
3,E1 7SA
5,E2 7AE
6,E14 7PQ
7,E1W 2BP
8,E2 9PF
9,E1 0ND
10,E3 4LY
11,E14 6PW
12,E1 4NS
13,E2 7EY
14,EC1A 9BU
16,EC2V 7HR
17,EC2V 7HR
18,E2 9LH
19,E9 6QH
20,E3 4TU
21,E1 4NS
22,E3 5RH
23,E2 9PJ
25,E3 3PS
26,E1 0BH
27,E1 3NQ
28,E2 7BS
30,E3 3HJ
31,E9 6QH
32,E9 7DL
33,E2 6HG
34,E2 6HG
35,E14 8LH
36,SE18 3JB
38,IP26 5EN
39,E1 6QE
40,E2 0RY
41,E14 3BN
42,E14 8SS
43,E3 3HJ
44,E1 3DF
45,E12 5EH
46,E14 3HP
47,E14 6EQ
48,E1 2AD
49,E14 6EQ
50,E1 3NQ
51,E3 5QZ
52,E2 9PJ
53,E14 7HP
56,E14 7HP
58,E1W 2PA
59,E9 6QH
60,E1W 3TD
62,E7 0HD
64,E2 9PL
65,E1 6PU
67,E14 7BD
68,E1 1HL
69,E2 7EB
70,E1 5AR
71,E14 0AE
74,E14 3DT
75,E17 4LL
76,E15 2HU
77,E3 5RH
78,E3 5RH
81,E14 6PW
82,E1W 3DH
83,EC3N 2EY
86,EC2A 4SH
89,TN26 3RE
90,E14 3QS
91,E14 3RS
92,E2 6HG
93,E1 0HR
94,N8 0QE
96,E2 0AA
97,E2 0EG
98,E14 9WA
100,E14 3HG
101,E15 2NH
103,E1 4AQ
104,W12 8LE
105,E1 1BJ
106,E1 8JB
108,E1 0ND
109,E2 9AX
110,E11 3BT
111,E1 1NB
112,E1 0BH
115,E1W 2PA
116,E3 5AB
118,E14 7DQ
119,E16 4HQ
120,E14 0AE
122,E2 9JN
123,E3 3PR
124,E1 5HU
125,E2 0PX
126,E1W 1LQ
127,E3 4AL
128,E14 0NU
129,SE1 7QZ
130,E1 5HU
131,E1 6BD
132,E3 3BT
133,E2 0RY
134,E2 9PJ
135,E2 6JL
136,E14 0GD
137,E1 8HY
138,E1W 3NW
139,E2 7EY
140,E3 3LJ
141,E2 9PA
142,E1W 2QD
143,E1 4NS
144,SE17 1RD
146,E14 3AG
147,E15 2QS
148,E2 6AW
149,E14 0BX
150,E1 2QL
152,E2 6QL
153,E1W 1YD
154,E14 3LU
155,E1 5LX
157,E1 5NF
158,E1 0ND
160,E15 1QU
161,E3 4FG
162,E1 7TP
163,SW9 7EZ
164,E3 3PZ
165,EC3R 5BJ
167,E1 2QB
170,E15 2QS
171,E14 0AE
172,E8 4EG
173,E3 5HQ
175,E14 0NU
176,E7 0LG
178,E2 0QY
179,E3 5EL
180,E14 7AB
181,E2 9EH
183,E14 7PX
184,E1 2JP
186,E1 4UF
187,E14 3PG
189,E1 4AA
190,E1 1BJ
191,EC2A 4NE
192,E1 1BJ
193,EC2A 3AY
195,E1 4TD
196,E2 9LY
197,E14 6RN
198,E1 1HL
199,E1 5HZ
200,E14 0JW
201,E1 5NF
202,E8 1HE
203,E14 7LL
205,E14 9TS
206,E16 3PG
207,E1 0SG
210,E1 5HZ
211,E1 1BJ
212,E1 6LA
213,E2 6EY
214,E9 5EG
215,E1 6QE
216,E1 6LA
217,SE18 5QL
219,E1 2DU
220,E1 3BG
221,E2 0FT
224,E14 4AL
226,E2 6DT
227,E1 5NP
228,E2 0EH
229,E3 5QY
231,E2 9PL
233,E15 3JU
234,E1W 3EG
235,E14 8GW
236,Essex
237,EC2M 5ND
239,E1 5HZ
241,SE1 2AQ
242,E1 5LX
243,EC2V 6AU
244,E7 8NP
